country_name,country_code,wb_region,year,year_trend,gdp_per_capita_usd,log_gdp_per_capita,population_total,log_population_total,life_expectancy_years,inflation_pct_clean,unemployment_pct_clean,internet_users_pct_clean,asian_financial_crisis_9798,global_financial_crisis_0809,model_name,target_year,predicted_gdp_next_year,compare_model
Viet Nam,VNM,East Asia & Pacific,2030,70,5433.391620535403,8.600318825775105,105181346.10119194,18.471196524115378,74.588,3.25289282667662,1.645,98.20030721735182,0,0,Model 3,2031,5573.467415686795,Model 3 - OLS
Viet Nam,VNM,East Asia & Pacific,2031,71,5573.467415686795,8.625772655519738,105889940.61916003,18.477910816627936,74.588,3.25289282667662,1.645,100.0,0,0,Model 3,2032,5707.981920723999,Model 3 - OLS
Viet Nam,VNM,East Asia & Pacific,2032,72,5707.981920723999,8.649620811234318,106603308.8561335,18.484625109140495,74.588,3.25289282667662,1.645,100.0,0,0,Model 3,2033,5837.549849430486,Model 3 - OLS
Viet Nam,VNM,East Asia & Pacific,2033,73,5837.549849430486,8.672066441457691,107321482.9721031,18.491339401653054,74.588,3.25289282667662,1.645,100.0,0,0,Model 3,2034,5961.827642141238,Model 3 - OLS
Viet Nam,VNM,East Asia & Pacific,2034,74,5961.827642141238,8.693132364417455,108044495.34371808,18.498053694165616,74.588,3.25289282667662,1.645,100.0,0,0,Model 3,2035,6080.492816997794,Model 3 - OLS
Viet Nam,VNM,East Asia & Pacific,2035,75,6080.492816997794,8.712841027102668,108772378.56574427,18.504767986678175,74.588,3.25289282667662,1.645,100.0,0,0,Model 3,2036,6193.245311852681,Model 3 - OLS
Viet Nam,VNM,East Asia & Pacific,2036,76,6193.245311852681,8.731214511303678,109505165.45253582,18.511482279190734,74.588,3.25289282667662,1.645,100.0,0,0,Model 3,2037,6299.808654102404,Model 3 - OLS
Viet Nam,VNM,East Asia & Pacific,2037,77,6299.808654102404,8.748274539553677,110242889.03951296,18.518196571703292,74.588,3.25289282667662,1.645,100.0,0,0,Model 3,2038,6399.930954777745,Model 3 - OLS
Viet Nam,VNM,East Asia & Pacific,2038,78,6399.930954777745,8.764042480973592,110985582.58465175,18.52491086421585,74.588,3.25289282667662,1.645,100.0,0,0,Model 3,2039,6493.385724962337,Model 3 - OLS
Viet Nam,VNM,East Asia & Pacific,2039,79,6493.385724962337,8.778539357021893,111733279.56998374,18.531625156728413,74.588,3.25289282667662,1.645,100.0,0,0,Model 3,2040,6579.972514288532,Model 3 - OLS
